iter	RMSE
0	5.881703795
1	5.769485872
2	5.67757724
3	5.588851039
4	5.510407057
5	5.436202095
6	5.358809643
7	5.282628422
8	5.200975924
9	5.122347651
10	5.063114808
11	4.998812895
12	4.939378591
13	4.881753473
14	4.837170298
15	4.790249787
16	4.735722647
17	4.689684501
18	4.640892369
19	4.584703455
20	4.535575072
21	4.492367749
22	4.458471977
23	4.417185119
24	4.384865707
25	4.35327643
26	4.318411337
27	4.286742207
28	4.254829856
29	4.220216545
30	4.185950976
31	4.159877273
32	4.128901575
33	4.10514074
34	4.083916749
35	4.06599776
36	4.04381903
37	4.01984979
38	3.992699086
39	3.964215145
40	3.948905233
41	3.934331749
42	3.915924468
43	3.90042445
44	3.878720926
45	3.862547583
46	3.849152419
47	3.838752458
48	3.822004213
49	3.80393002
50	3.790963862
51	3.780458573
52	3.765376932
53	3.747519789
54	3.734137659
55	3.714340584
56	3.700437097
57	3.690418739
58	3.682843597
59	3.667134544
60	3.65828977
61	3.646917093
62	3.63683254
63	3.627808802
64	3.610573301
65	3.6038114
66	3.596948147
67	3.585098967
68	3.575154422
69	3.564427424
70	3.558006152
71	3.549284756
72	3.542463292
73	3.53380386
74	3.526513473
75	3.520315343
76	3.508564854
77	3.500097821
78	3.485720247
79	3.480097337
80	3.469159037
81	3.461710551
82	3.454682942
83	3.447865627
84	3.44139014
85	3.434131833
86	3.423458999
87	3.412366494
88	3.40563169
89	3.401174116
90	3.390015719
91	3.382150434
92	3.370923226
93	3.363408799
94	3.358365145
95	3.353793593
96	3.34857917
97	3.337403588
98	3.33091469
99	3.326904577
100	3.319693246
101	3.315311952
102	3.310560545
103	3.301020021
104	3.29025862
105	3.284892367
106	3.280231495
107	3.27635974
108	3.263413194
109	3.256284216
110	3.250836962
111	3.245396116
112	3.233841373
113	3.224539584
114	3.220685423
115	3.215542007
116	3.212513145
117	3.208259617
118	3.203226592
119	3.196479439
120	3.191022909
121	3.188038745
122	3.180872841
123	3.171152492
124	3.161311867
125	3.157060428
126	3.152083618
127	3.146044411
128	3.141885894
129	3.137640053
130	3.131569166
131	3.128283962
132	3.123381484
133	3.118363769
134	3.114348105
