iter	Passed	Remaining
0	39	39026
1	72	36409
2	118	39471
3	156	38999
4	196	39009
5	234	38786
6	267	37932
7	298	37060
8	329	36254
9	362	35849
10	392	35304
11	432	35623
12	468	35557
13	546	38504
14	637	41876
15	687	42273
16	723	41843
17	761	41545
18	801	41406
19	849	41620
20	892	41590
21	968	43056
22	1058	44943
23	1108	45067
24	1174	45822
25	1211	45396
26	1266	45636
27	1419	49287
28	1488	49825
29	1551	50159
30	1613	50421
31	1708	51692
32	1847	54142
33	1901	54033
34	1965	54188
35	2048	54855
36	2114	55023
37	2212	56017
38	2290	56447
39	2355	56524
40	2399	56125
41	2454	55979
42	2511	55897
43	2575	55955
44	2651	56270
45	2716	56333
46	2840	57605
47	2920	57925
48	3002	58279
49	3095	58809
50	3162	58855
51	3228	58857
52	3276	58540
53	3350	58697
54	3420	58763
55	3478	58644
56	3565	58994
57	3645	59207
58	3699	58998
59	3746	58700
60	3793	58394
61	4220	63852
62	4305	64035
63	4396	64292
64	4453	64068
65	4525	64044
66	4624	64399
67	4699	64409
68	4762	64262
69	4856	64521
70	4927	64472
71	4997	64412
72	5075	64452
73	5163	64607
74	5217	64352
75	5272	64099
76	5325	63842
77	5378	63574
78	5428	63284
79	5487	63106
80	5529	62735
81	5582	62491
82	5639	62301
83	5710	62268
84	5779	62212
85	5879	62490
86	5982	62786
87	6039	62593
88	6071	62151
89	6121	61898
90	6184	61772
91	6226	61450
92	6262	61075
93	6302	60748
94	6335	60358
95	6369	59975
96	6404	59620
97	6438	59260
98	6474	58928
99	6509	58586
100	6542	58235
101	6580	57929
102	6617	57626
103	6650	57294
104	6685	56982
105	6723	56706
106	6756	56392
107	6791	56090
108	6826	55802
109	6858	55488
110	6894	55216
111	6922	54885
112	6960	54640
113	6991	54334
114	7023	54053
115	7059	53798
116	7093	53536
117	7135	53333
118	7170	53083
119	7205	52841
120	7245	52634
121	7280	52394
122	7319	52188
123	7357	51973
124	7392	51749
125	7427	51523
126	7463	51304
127	7497	51075
128	7534	50873
129	7571	50672
130	7605	50450
131	7637	50223
132	7672	50016
133	7708	49814
134	7740	49595
135	7775	49397
136	7815	49230
137	7847	49020
138	7882	48825
139	7924	48677
140	7969	48550
141	8022	48476
142	8069	48359
143	8133	48351
144	8179	48229
145	8219	48077
146	8256	47909
147	8288	47715
148	8330	47580
149	8391	47552
150	8469	47620
151	8538	47635
152	8607	47652
153	8735	47988
154	8833	48154
155	8924	48285
156	8971	48169
157	9033	48142
158	9084	48051
159	9132	47947
160	9194	47913
161	9251	47856
162	9307	47796
163	9357	47698
164	9411	47625
165	9454	47500
166	9496	47371
167	9556	47329
168	9639	47397
169	9712	47417
170	9758	47310
171	9825	47299
172	9870	47182
173	9943	47201
174	9990	47098
175	10043	47021
176	10083	46884
177	10125	46760
178	10168	46637
179	10205	46492
180	10243	46350
181	10277	46190
182	10308	46019
183	10338	45849
184	10373	45698
185	10409	45556
186	10441	45395
187	10473	45235
188	10501	45060
189	10533	44904
190	10565	44750
191	10599	44605
192	10638	44483
193	10680	44372
194	10712	44222
195	10751	44102
196	10804	44040
197	10841	43912
198	10879	43791
199	10910	43640
200	10966	43594
201	11002	43464
202	11036	43330
203	11069	43191
204	11116	43109
205	11156	43000
206	11195	42889
207	11231	42764
208	11286	42717
209	11328	42617
210	11367	42506
211	11405	42395
212	11443	42282
213	11478	42158
214	11518	42056
215	11550	41924
216	11591	41825
217	11637	41745
218	11688	41682
219	11724	41569
220	11772	41495
221	11813	41399
222	11865	41344
223	11900	41227
224	11948	41156
225	12003	41110
226	12049	41030
227	12097	40962
228	12146	40895
229	12191	40814
230	12232	40720
231	12272	40627
232	12312	40532
233	12349	40425
234	12388	40329
235	12433	40249
236	12476	40167
237	12518	40081
238	12559	39990
239	12605	39916
240	12646	39827
241	12702	39788
242	12758	39747
243	12816	39709
244	12873	39670
245	12928	39627
246	12980	39571
247	13041	39546
248	13138	39626
249	13251	39754
250	13297	39680
251	13332	39574
252	13375	39493
253	13421	39418
254	13484	39396
255	13536	39339
256	13590	39289
257	13648	39252
258	13702	39203
259	13753	39143
260	13811	39105
261	13860	39041
262	13911	38984
263	13964	38931
264	14014	38871
265	14075	38840
266	14130	38791
267	14170	38703
268	14207	38608
269	14238	38497
270	14269	38385
271	14300	38274
272	14338	38184
273	14386	38119
274	14443	38077
275	14488	38006
276	14532	37930
277	14577	37860
278	14623	37789
279	14669	37720
280	14714	37651
281	14777	37626
282	14864	37659
283	14916	37606
284	14949	37503
285	14983	37406
286	15020	37314
287	15061	37234
288	15103	37157
289	15145	37079
290	15189	37007
291	15231	36930
292	15266	36837
293	15308	36760
294	15346	36675
295	15382	36585
296	15427	36516
297	15474	36452
298	15517	36381
299	15565	36320
300	15611	36252
301	15650	36173
302	15694	36101
303	15733	36021
304	15778	35953
305	15822	35884
306	15870	35825
307	15914	35756
308	16123	36055
309	16180	36015
310	16227	35951
311	16266	35869
312	16309	35798
313	16352	35725
314	16395	35653
315	16434	35572
316	16477	35501
317	16519	35429
318	16555	35342
319	16602	35280
320	16640	35198
321	16683	35128
322	16722	35050
323	16769	34988
324	16804	34902
325	16846	34830
326	16887	34756
327	16927	34680
328	16968	34608
329	17009	34534
330	17052	34465
331	17097	34401
332	17138	34327
333	17178	34254
334	17218	34180
335	17271	34132
336	17331	34097
337	17382	34045
338	17443	34011
339	17496	33964
340	17550	33916
341	17600	33863
342	17657	33822
343	17709	33771
344	17764	33727
345	17823	33690
346	17879	33646
347	17935	33602
348	17988	33554
349	18041	33506
350	18096	33460
351	18152	33416
352	18207	33371
353	18266	33333
354	18324	33293
355	18379	33248
356	18437	33208
357	18477	33136
358	18514	33058
359	18559	32994
360	18607	32936
361	18654	32877
362	18698	32812
363	18734	32734
364	18762	32642
365	18800	32566
366	18838	32493
367	18870	32407
368	18899	32318
369	18933	32237
370	18959	32144
371	18987	32054
372	19014	31963
373	19042	31872
374	19068	31781
375	19099	31697
376	19129	31611
377	19156	31522
378	19184	31434
379	19211	31345
380	19239	31258
381	19265	31168
382	19295	31084
383	19326	31003
384	19356	30919
385	19384	30835
386	19415	30754
387	19451	30681
388	19482	30600
389	19511	30517
390	19541	30436
391	19572	30357
392	19605	30281
393	19639	30206
394	19668	30124
395	19696	30041
396	19725	29960
