iter	RMSE
0	5.901377228
1	5.795260993
2	5.718022582
3	5.63410108
4	5.561431474
5	5.479312242
6	5.393646371
7	5.321198709
8	5.259502024
9	5.188330307
10	5.134016185
11	5.070433144
12	5.004607158
13	4.945593893
14	4.893203824
15	4.843846814
16	4.794088512
17	4.75069117
18	4.706575801
19	4.663479918
20	4.620009173
21	4.584944024
22	4.54586516
23	4.513883208
24	4.469681513
25	4.433489321
26	4.397130186
27	4.361373439
28	4.335263473
29	4.302344972
30	4.270709417
31	4.244899768
32	4.214918213
33	4.187518496
34	4.161168874
35	4.142339029
36	4.119058927
37	4.092410743
38	4.067260974
39	4.045306467
40	4.025861602
41	4.01369235
42	3.991353975
43	3.97325951
44	3.956932321
45	3.943586622
46	3.926737922
47	3.913934178
48	3.900036235
49	3.887270825
50	3.872810237
51	3.85867381
52	3.847751542
53	3.836795017
54	3.818783082
55	3.807233754
56	3.79596993
57	3.782667418
58	3.772839643
59	3.764485254
60	3.75392242
61	3.7432991
62	3.728178771
63	3.715838388
64	3.706744313
65	3.697400077
66	3.688840449
67	3.680209513
68	3.671481903
69	3.661486973
70	3.655741664
71	3.647027346
72	3.638331139
73	3.631231438
74	3.624063923
75	3.617655514
76	3.609134725
77	3.602766998
78	3.592421079
79	3.587487861
80	3.575911996
81	3.567690408
82	3.557621181
83	3.551565508
84	3.543462422
85	3.53780898
86	3.529372959
87	3.519127138
88	3.511732512
89	3.504782126
90	3.495453231
91	3.4820455
92	3.47521738
93	3.462998583
94	3.455455741
95	3.448250682
96	3.43650373
97	3.431347638
98	3.424316176
99	3.416959631
100	3.412208752
101	3.403133557
102	3.394916469
103	3.389671001
104	3.386109439
105	3.382108977
106	3.3749469
107	3.367905323
108	3.362423748
109	3.358280141
110	3.351314252
111	3.345956468
112	3.340842949
113	3.336305343
114	3.330492512
115	3.325088221
116	3.317383191
117	3.31330852
118	3.308806561
119	3.302935966
120	3.298662619
121	3.290725442
122	3.286454654
123	3.278486513
124	3.273873998
125	3.269282596
126	3.265305239
127	3.256374425
128	3.250578548
129	3.247085992
130	3.242669598
131	3.239299809
132	3.234121628
133	3.229370623
134	3.224106421
135	3.214729707
136	3.208140106
137	3.20467162
138	3.197255336
139	3.189446997
140	3.185748343
141	3.180288899
142	3.175186515
143	3.168653821
144	3.164107724
145	3.160564736
146	3.152764997
147	3.150371282
148	3.140947583
149	3.137085826
150	3.131851198
151	3.124791782
152	3.118800275
153	3.11318143
154	3.109774064
155	3.107254647
156	3.102124026
157	3.098662025
158	3.092889675
159	3.089436435
160	3.08485044
161	3.079089865
162	3.076141317
163	3.073014699
164	3.066764454
165	3.061913301
166	3.058853042
167	3.052790588
168	3.049923397
169	3.045860132
170	3.042564579
171	3.039784169
172	3.036116215
173	3.03221718
174	3.029430995
175	3.025626674
176	3.01901917
177	3.015681544
178	3.012122539
179	3.009378722
180	3.005180853
181	3.001598855
182	2.997473457
183	2.993082609
184	2.990470009
185	2.981983582
186	2.975956308
187	2.972724848
188	2.969586227
189	2.965984362
190	2.956559759
191	2.951746397
192	2.948897352
193	2.94429954
194	2.942160452
195	2.938250358
196	2.935740263
197	2.923629759
198	2.921692208
199	2.914638409
200	2.912375428
201	2.90613463
202	2.902456667
203	2.894562593
204	2.887464435
205	2.885044629
206	2.882792072
207	2.875499006
208	2.864866142
209	2.862789983
210	2.854123511
211	2.848837545
212	2.84256874
213	2.83442731
214	2.832923571
215	2.823962304
216	2.822754032
217	2.814076214
218	2.812103924
219	2.810724536
220	2.80493652
221	2.802415843
222	2.792665078
223	2.786356633
224	2.778349957
225	2.775100368
226	2.763894486
227	2.762662801
228	2.760375519
229	2.755173062
230	2.754142572
231	2.750291735
232	2.748587935
233	2.747243996
234	2.737448881
235	2.734467775
236	2.731801095
237	2.723000986
238	2.721908699
239	2.713874365
240	2.708825147
241	2.707089706
242	2.699449288
243	2.691309736
244	2.689886
245	2.685634905
246	2.677225871
247	2.673361616
248	2.668233183
249	2.6646593
250	2.659742687
251	2.655804413
252	2.652683614
253	2.643884147
254	2.642860936
255	2.63741347
256	2.633923437
257	2.628585478
258	2.627508767
259	2.626468327
260	2.623774815
261	2.619914125
262	2.614266867
263	2.609498345
264	2.603344769
265	2.597875405
266	2.595900095
267	2.594860835
268	2.590214758
269	2.587289194
270	2.585798911
271	2.578975487
272	2.575880098
273	2.573910441
274	2.570112958
275	2.564178829
276	2.563233511
277	2.556508913
278	2.553109009
279	2.55213148
280	2.550510856
281	2.545913155
282	2.541594982
283	2.540603119
284	2.535273395
285	2.534333375
286	2.532026329
287	2.528632819
288	2.5258163
289	2.519985013
290	2.518230712
291	2.515267596
292	2.51431373
293	2.51165514
294	2.507569788
295	2.505330923
296	2.503461419
297	2.500250561
298	2.495567012
299	2.491271021
300	2.490359182
301	2.488676666
302	2.48604649
303	2.480528562
304	2.477930938
305	2.47412717
306	2.472050811
307	2.467580396
308	2.464305027
309	2.45965437
310	2.455661134
311	2.453922448
312	2.448526427
313	2.446512377
314	2.442077279
315	2.440182747
316	2.439321868
317	2.437813795
318	2.434651901
319	2.431592707
320	2.429233195
321	2.424687586
322	2.421694262
323	2.420915382
324	2.417437692
325	2.415221587
326	2.413119225
327	2.40938233
328	2.408514583
329	2.403165673
330	2.399534627
331	2.397765077
332	2.395428112
333	2.391708502
334	2.390919857
335	2.389489177
336	2.387393152
337	2.381596177
338	2.379744114
339	2.37890562
340	2.376111751
341	2.374672449
342	2.372660656
343	2.368324594
344	2.364449989
345	2.362671468
346	2.359688235
347	2.354607023
348	2.351178625
349	2.349079151
350	2.34761423
351	2.344020252
352	2.341506231
353	2.340672749
354	2.339883208
355	2.338010869
356	2.332694055
357	2.331393563
358	2.328403031
359	2.321920438
360	2.321129844
361	2.317845188
362	2.316394032
363	2.312483479
364	2.310975937
365	2.309076943
366	2.308291426
367	2.307553288
368	2.302279772
369	2.299522732
370	2.298025902
371	2.297262258
372	2.293972526
373	2.289929872
374	2.288333799
375	2.284204441
376	2.281880585
377	2.280053595
378	2.276379976
379	2.275619134
380	2.274031705
381	2.270033708
382	2.267529431
383	2.266312114
384	2.264849404
385	2.2633832
386	2.261912084
387	2.26116077
388	2.258722813
389	2.256987395
390	2.256329375
391	2.254665513
392	2.252783284
393	2.250400408
394	2.24810834
395	2.247403181
396	2.245977457
397	2.242426965
398	2.239066933
399	2.23541203
400	2.234030711
401	2.232087945
402	2.231363301
403	2.229762915
404	2.225234807
405	2.221667578
406	2.220377457
407	2.219659572
408	2.2182731
409	2.217567632
410	2.216215565
411	2.21283923
412	2.211474055
413	2.209993635
414	2.208598946
415	2.205844905
416	2.202717123
417	2.201210131
418	2.200121905
419	2.199422714
420	2.198381825
421	2.197269378
422	2.193888033
423	2.191733752
424	2.190069588
425	2.18688347
426	2.183285996
427	2.182594863
428	2.179809576
429	2.178305079
430	2.176948941
431	2.175109151
432	2.173948791
433	2.171142174
434	2.167216206
435	2.16591311
436	2.162891415
437	2.161651199
438	2.160716431
439	2.157918425
440	2.157232329
441	2.155235321
442	2.152706372
443	2.151764656
444	2.150408536
445	2.149406258
446	2.145214522
447	2.143183941
448	2.141073775
449	2.139782328
450	2.13688937
451	2.136211928
452	2.13318072
453	2.130961714
454	2.129781914
455	2.128242808
456	2.126038389
457	2.122344759
458	2.118868778
459	2.11784232
460	2.115525797
461	2.114264136
462	2.112175029
463	2.111507119
464	2.110338826
465	2.109333974
466	2.106376913
467	2.105174987
468	2.103937707
469	2.099625012
470	2.098542636
471	2.097461347
472	2.09680881
473	2.094521889
474	2.092974361
475	2.091912368
476	2.090409445
477	2.088676919
478	2.087783021
479	2.087139356
480	2.086102634
481	2.082753513
482	2.081458007
483	2.079241786
484	2.077243016
485	2.076135023
486	2.075500546
487	2.07409356
488	2.072403553
489	2.071775316
490	2.070781836
491	2.070309754
492	2.068689165
493	2.065452726
494	2.063286007
495	2.062308906
496	2.061018496
497	2.058178109
498	2.056649654
499	2.056105978
500	2.055103144
501	2.053659692
502	2.050298805
503	2.048799453
504	2.047931296
505	2.046795174
506	2.045846938
507	2.044569619
508	2.042097692
509	2.039036531
510	2.036255226
511	2.034396425
512	2.032519261
513	2.030072751
514	2.028572961
515	2.027960059
516	2.024613904
517	2.023768421
518	2.02216639
519	2.018540507
520	2.017461487
521	2.016380694
522	2.015773459
523	2.011633871
524	2.010614849
525	2.007720537
526	2.006902902
527	2.006305167
528	2.005471911
529	2.004953799
530	2.003350385
531	2.002317324
532	2.001431251
533	2.000468831
534	1.999985673
535	1.997114321
536	1.993730592
537	1.990950034
538	1.990028518
539	1.988954286
540	1.98837405
541	1.987191613
542	1.986343337
543	1.985772111
544	1.984942688
545	1.984136327
546	1.982801876
547	1.980219176
548	1.979449401
549	1.975306407
550	1.973036177
551	1.970883313
552	1.970338465
553	1.969777814
554	1.967473537
555	1.964308234
556	1.963753382
557	1.96170861
558	1.960477555
559	1.960000908
560	1.95904781
561	1.958248656
562	1.95733799
563	1.956517978
564	1.955120063
565	1.952907182
566	1.950616665
567	1.949683315
568	1.948422406
569	1.947591626
570	1.947045075
571	1.944567436
572	1.941663437
573	1.940717329
574	1.938894674
575	1.937329068
576	1.932896238
577	1.929804867
578	1.928592084
579	1.927590863
580	1.926796897
581	1.925055366
582	1.924532308
583	1.923993353
584	1.923458805
585	1.922211206
586	1.919746406
587	1.917533628
588	1.914637589
589	1.913517044
590	1.912983404
591	1.909701539
592	1.908566717
593	1.907799416
594	1.904457021
595	1.903466502
596	1.90260442
597	1.902075886
598	1.899212893
599	1.898428397
600	1.897904803
601	1.897089306
602	1.895158543
603	1.891987508
604	1.891213474
605	1.890100651
606	1.888105217
607	1.887376855
608	1.886878422
609	1.884997728
610	1.884267172
611	1.883545308
612	1.882269866
613	1.880558178
614	1.879350774
615	1.878560514
616	1.876087404
617	1.875576127
618	1.875085325
619	1.874177421
620	1.873507006
621	1.872048555
622	1.871541609
623	1.871038449
624	1.8689053
625	1.867791388
626	1.866089405
627	1.865608068
628	1.863995127
629	1.862763222
630	1.861982955
631	1.861223966
632	1.860728776
633	1.857442982
634	1.856218881
635	1.855406603
636	1.854680643
637	1.85333786
638	1.852416767
639	1.851753297
640	1.851260122
641	1.847755751
642	1.846711351
643	1.846225204
644	1.845421888
645	1.84290955
646	1.842180481
647	1.838499281
648	1.837381101
649	1.836918244
650	1.836228576
651	1.835082862
652	1.834608289
653	1.833682443
