iter	Passed	Remaining
0	53	53443
1	87	43679
2	115	38233
3	147	36663
4	175	34894
5	212	35207
6	247	35106
7	278	34541
8	312	34379
9	347	34373
10	382	34349
11	411	33908
12	442	33597
13	478	33713
14	532	34998
15	560	34442
16	588	34045
17	618	33758
18	647	33444
19	676	33136
20	704	32833
21	736	32731
22	768	32637
23	797	32436
24	952	37152
25	1003	37583
26	1047	37746
27	1082	37574
28	1110	37179
29	1141	36898
30	1172	36654
31	1245	37664
32	1290	37808
33	1569	44595
34	1646	45383
35	1688	45211
36	1761	45835
37	2124	53772
38	2169	53458
39	2201	52830
40	2244	52491
41	2292	52283
42	2338	52036
43	2391	51967
44	2438	51756
45	2508	52018
46	2551	51730
47	2621	51998
48	2764	53660
49	2844	54037
50	2944	54793
51	3041	55449
52	3175	56739
53	3223	56478
54	3279	56354
55	3328	56103
56	3420	56585
57	3497	56802
58	3628	57868
59	3770	59070
60	3825	58883
61	3893	58911
62	3947	58707
63	4042	59119
64	4266	61378
65	4421	62567
66	4513	62851
67	4593	62955
68	4682	63175
69	4755	63176
70	4821	63092
71	4876	62858
72	4943	62776
73	5003	62606
74	5063	62447
75	5128	62353
76	5215	62524
77	5292	62555
78	5353	62406
79	5426	62403
80	5503	62443
81	5633	63073
82	5741	63435
83	5883	64156
84	5992	64510
85	6089	64718
86	6215	65224
87	6306	65361
88	6383	65336
89	6525	65981
90	6615	66085
91	6666	65795
92	6716	65506
93	6759	65153
94	6824	65013
95	6891	64895
96	6965	64845
97	7028	64691
98	7090	64533
99	7495	67461
100	7585	67514
101	7692	67720
102	7795	67885
103	7847	67613
104	7889	67247
105	7977	67284
106	8097	67583
107	8177	67537
108	8256	67494
109	8320	67318
110	8389	67190
111	8517	67531
112	8620	67669
113	8690	67540
114	8769	67485
115	8861	67529
116	8926	67367
117	8998	67261
118	9105	67410
119	9227	67670
120	9299	67559
121	9361	67371
122	9449	67375
123	9504	67146
124	9568	66978
125	9639	66863
126	9733	66911
127	9804	66791
128	9912	66925
129	9986	66831
130	10048	66656
131	10143	66703
132	10227	66670
133	10306	66609
134	10381	66518
135	10444	66353
136	10495	66111
137	10562	65975
138	10655	66000
139	10713	65812
140	10876	66262
141	10929	66037
142	10971	65749
143	11016	65484
144	11056	65193
145	11134	65129
146	11181	64883
147	11227	64636
148	11266	64348
149	11304	64059
150	11339	63755
151	11639	64933
152	11772	65172
153	11892	65333
154	11972	65271
155	12071	65309
156	12117	65063
157	12152	64759
158	12213	64600
159	12302	64586
160	12347	64347
161	12396	64126
162	12443	63898
163	12498	63712
164	12566	63594
165	12670	63659
166	12774	63718
167	12840	63592
168	12912	63491
169	12994	63441
170	13075	63389
171	13163	63368
172	13263	63402
173	13319	63228
174	13378	63068
175	13423	62847
176	13480	62682
177	13526	62462
178	13627	62505
179	13678	62311
180	13728	62118
181	13770	61893
182	13827	61730
183	13881	61561
184	13926	61353
185	14022	61365
186	14101	61307
187	14158	61153
188	14202	60945
189	14247	60737
190	14329	60695
191	14435	60748
192	14619	61129
193	14741	61247
194	14873	61399
195	14962	61375
196	15022	61233
197	15086	61106
198	15134	60917
199	15186	60745
200	15257	60649
201	15298	60435
202	15334	60206
203	15389	60050
204	15435	59861
205	15517	59810
206	15559	59608
207	15600	59403
208	15638	59186
209	15699	59058
210	15783	59021
211	15849	58914
212	15901	58754
213	15938	58539
214	16003	58430
215	16073	58342
216	16132	58210
217	16179	58037
218	16219	57843
219	16272	57693
220	16329	57559
221	16370	57369
222	16416	57199
223	16458	57015
224	16503	56844
225	16568	56743
226	16618	56591
227	16662	56420
228	16723	56303
229	16757	56100
230	16836	56049
231	16875	55865
232	16915	55683
233	16955	55503
234	16991	55311
235	17027	55122
236	17092	55027
237	17147	54902
238	17214	54812
239	17251	54630
240	17285	54439
241	17335	54298
242	17383	54154
243	17445	54053
244	17494	53912
245	17612	53984
246	17693	53941
247	17748	53817
248	17791	53660
249	17826	53480
250	17893	53394
251	17928	53217
252	17977	53079
253	18015	52911
254	18060	52766
255	18149	52746
256	18496	53475
257	18560	53378
258	18600	53215
259	18640	53053
260	18679	52889
261	18743	52796
262	18782	52634
263	18827	52487
264	18864	52320
265	18912	52186
266	18956	52042
267	19071	52091
268	19115	51947
269	19168	51826
270	19217	51696
271	19276	51593
272	19317	51441
273	19365	51311
274	19410	51172
275	19455	51035
276	19544	51013
277	19612	50935
278	19670	50834
279	19725	50721
280	19777	50605
281	19823	50472
282	19869	50340
283	19916	50210
284	19955	50064
285	20019	49978
286	20109	49957
287	20154	49826
288	20198	49693
289	20245	49567
290	20300	49460
291	20371	49394
292	20434	49307
293	20516	49268
294	20601	49233
295	20648	49110
296	20683	48956
297	20730	48835
298	20772	48701
299	20820	48580
300	20904	48546
301	20980	48492
302	21028	48373
303	21075	48251
304	21135	48161
305	21193	48066
